epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,9499.49,0.63736,0.87385,1.14896,0.87596,0.86716,0.92501,0.8395,0.44691,0.59226,0.80849,0.005842,0.005842,0.005842
44,9717.27,0.63668,0.87273,1.14615,0.89492,0.85255,0.92515,0.84023,0.44361,0.60274,0.80759,0.005743,0.005743,0.005743
45,9934.91,0.6252,0.85918,1.14024,0.90032,0.85065,0.92315,0.83667,0.44318,0.6029,0.80631,0.005644,0.005644,0.005644
46,10153.3,0.63581,0.87329,1.14466,0.90043,0.84432,0.92228,0.83567,0.43698,0.59783,0.79821,0.005545,0.005545,0.005545
47,10373.4,0.62581,0.86806,1.13868,0.90997,0.84207,0.92321,0.83825,0.43529,0.58085,0.79259,0.005446,0.005446,0.005446
48,10591.5,0.62664,0.85772,1.14144,0.89268,0.85552,0.92258,0.83801,0.43494,0.58415,0.79127,0.005347,0.005347,0.005347
49,10810.9,0.62359,0.84997,1.13621,0.8883,0.85294,0.92187,0.83829,0.42949,0.57616,0.78456,0.005248,0.005248,0.005248
50,11030.2,0.61825,0.84907,1.13325,0.90297,0.84514,0.92309,0.83888,0.4284,0.57593,0.78402,0.005149,0.005149,0.005149
51,11247.8,0.61728,0.85257,1.13358,0.91217,0.84295,0.92312,0.83983,0.42909,0.57799,0.78572,0.00505,0.00505,0.00505
52,11463.7,0.61661,0.84175,1.13474,0.89423,0.85058,0.92329,0.84044,0.43172,0.58138,0.78986,0.004951,0.004951,0.004951
53,11677.1,0.61605,0.84578,1.13449,0.89413,0.85111,0.92418,0.83991,0.43703,0.59045,0.79705,0.004852,0.004852,0.004852
54,11889.8,0.60757,0.83229,1.12697,0.89194,0.86002,0.92641,0.84106,0.44119,0.59431,0.80325,0.004753,0.004753,0.004753
55,12102.2,0.61086,0.8399,1.13112,0.89625,0.85345,0.9247,0.84121,0.44215,0.59567,0.80455,0.004654,0.004654,0.004654
56,12314.4,0.6041,0.83158,1.12582,0.88219,0.86061,0.92466,0.84103,0.4418,0.59322,0.80419,0.004555,0.004555,0.004555
57,12528.4,0.59818,0.82355,1.124,0.88378,0.86061,0.92524,0.84167,0.44211,0.59333,0.80464,0.004456,0.004456,0.004456
58,12741.6,0.59463,0.8147,1.1184,0.88977,0.85208,0.92539,0.84039,0.44458,0.59312,0.80628,0.004357,0.004357,0.004357
